 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   95   92    58.165659   0.64  27.36  54.88    1.4846E-02    1.1450E-06
    1   97   94    58.191728   0.64  27.36  54.88    1.4842E-02    7.6628E-07
    1   98   95    58.204361   0.64  27.36  54.88    1.4840E-02    7.2798E-07
    1  100   97    58.228866   0.64  27.36  54.88    1.4837E-02    9.6359E-07
    1    5    1    20.322502   0.64  27.36  54.88    1.7219E-02    9.2050E-05
    1    7    3    33.778419   0.64  27.36  54.88    1.7529E-02    2.6289E-04
    1    9    5    40.158317   0.64  27.36  54.88    1.7167E-02    1.5003E-04
    1   11    7    43.963684   0.64  27.36  54.88    1.6766E-02    1.0707E-04
    1   13    9    46.503961   0.64  27.36  54.88    1.6449E-02    8.4442E-05
    1   15   11    48.323471   0.64  27.36  54.88    1.6207E-02    6.8341E-05
    1   17   13    49.692036   0.64  27.36  54.88    1.6020E-02    5.6050E-05
    1   19   15    50.759299   0.64  27.36  54.88    1.5872E-02    4.6602E-05
    1   21   17    51.615118   0.64  27.36  54.88    1.5753E-02    3.9239E-05
    1   23   19    52.316781   0.64  27.36  54.88    1.5655E-02    3.3374E-05
    1   25   21    52.902561   0.64  27.36  54.88    1.5573E-02    2.8604E-05
    1   27   23    53.399012   0.64  27.36  54.88    1.5504E-02    2.4663E-05
    1   29   25    53.825141   0.64  27.36  54.88    1.5445E-02    2.1450E-05
    1   31   27    54.194917   0.64  27.36  54.88    1.5393E-02    1.8757E-05
    1   33   29    54.518832   0.64  27.36  54.88    1.5348E-02    1.6456E-05
    1   35   31    54.804927   0.64  27.36  54.88    1.5308E-02    1.4478E-05
    1   37   33    55.059465   0.64  27.36  54.88    1.5273E-02    1.2766E-05
    1   39   35    55.287395   0.64  27.36  54.88    1.5241E-02    1.1328E-05
    1   41   37    55.492687   0.64  27.36  54.88    1.5213E-02    1.0080E-05
    1   43   39    55.678553   0.64  27.36  54.88    1.5187E-02    8.9714E-06
    1   45   41    55.847628   0.64  27.36  54.88    1.5163E-02    8.0032E-06
    1   47   43    56.002090   0.64  27.36  54.88    1.5142E-02    7.1581E-06
    1   49   45    56.143756   0.64  27.36  54.88    1.5123E-02    6.4187E-06
    1   51   47    56.274152   0.64  27.36  54.88    1.5105E-02    5.7496E-06
    1   53   49    56.394573   0.64  27.36  54.88    1.5088E-02    5.1793E-06
    1   55   51    56.506121   0.64  27.36  54.88    1.5073E-02    4.6763E-06
    1   57   53    56.609743   0.64  27.36  54.88    1.5058E-02    4.2085E-06
    1   59   55    56.706254   0.64  27.36  54.88    1.5045E-02    3.7755E-06
    1   61   57    56.796362   0.64  27.36  54.88    1.5033E-02    3.4252E-06
    1   63   59    56.880685   0.64  27.36  54.88    1.5021E-02    3.1193E-06
    1   65   61    56.959761   0.64  27.36  54.88    1.5010E-02    2.8122E-06
    1   67   63    57.034066   0.64  27.36  54.88    1.5000E-02    2.5673E-06
    1   69   65    57.104020   0.64  27.36  54.88    1.4990E-02    2.2744E-06
    1   71   67    57.169993   0.64  27.36  54.88    1.4981E-02    2.0744E-06
    1   73   69    57.232317   0.64  27.36  54.88    1.4973E-02    1.9525E-06
    1   75   71    57.291285   0.64  27.36  54.88    1.4965E-02    1.6873E-06
    1   77   73    57.347162   0.64  27.36  54.88    1.4957E-02    1.5984E-06
    1   79   75    57.400184   0.64  27.36  54.88    1.4950E-02    1.4118E-06
    1   81   77    57.450566   0.64  27.36  54.88    1.4943E-02    1.2443E-06
    1   83   79    57.498499   0.64  27.36  54.88    1.4937E-02    1.2238E-06
    1   85   81    57.544157   0.64  27.36  54.88    1.4930E-02    1.0167E-06
    1   87   83    57.587700   0.64  27.36  54.88    1.4924E-02    1.0165E-06
    1   89   85    57.629270   0.64  27.36  54.88    1.4919E-02    9.1840E-07
    1   91   87    57.668999   0.64  27.36  54.88    1.4913E-02    7.5031E-07
    1   93   89    57.707006   0.64  27.36  54.88    1.4908E-02    8.3378E-07
    1   95   91    57.743402   0.64  27.36  54.88    1.4903E-02    6.1500E-07
    1   97   93    57.778285   0.64  27.36  54.88    1.4898E-02    6.6289E-07
    1   99   95    57.811750   0.64  27.36  54.88    1.4894E-02    6.1735E-07
    1    6    1    17.996567   0.64  27.36  54.88    1.7127E-02    1.6895E-05
    1    7    2    25.777758   0.64  27.36  54.88    1.7432E-02    8.6119E-05
    1    8    3    30.901390   0.64  27.36  54.88    1.7549E-02    1.3078E-04
    1    9    4    34.607388   0.64  27.36  54.88    1.7508E-02    1.0135E-04
    1   11    6    39.670062   0.64  27.36  54.88    1.7210E-02    7.6623E-05
    1   12    7    41.486013   0.64  27.36  54.88    1.7040E-02    6.4267E-05
    1   13    8    42.992061   0.64  27.36  54.88    1.6878E-02    5.8118E-05
    1   14    9    44.262250   0.64  27.36  54.88    1.6730E-02    5.2577E-05
    1   16   11    46.288415   0.64  27.36  54.88    1.6477E-02    4.2903E-05
    1   17   12    47.109886   0.64  27.36  54.88    1.6369E-02    3.8763E-05
    1   18   13    47.834114   0.64  27.36  54.88    1.6273E-02    3.5493E-05
    1   19   14    48.477490   0.64  27.36  54.88    1.6186E-02    3.2433E-05
    1   21   16    49.570614   0.64  27.36  54.88    1.6037E-02    2.7405E-05
    1   22   17    50.038928   0.64  27.36  54.88    1.5972E-02    2.5294E-05
    1   23   18    50.464614   0.64  27.36  54.88    1.5913E-02    2.3370E-05
    1   24   19    50.853254   0.64  27.36  54.88    1.5859E-02    2.1642E-05
    1   26   21    51.537238   0.64  27.36  54.88    1.5764E-02    1.8636E-05
    1   27   22    51.839776   0.64  27.36  54.88    1.5722E-02    1.7377E-05
    1   28   23    52.119916   0.64  27.36  54.88    1.5683E-02    1.6143E-05
    1   29   24    52.380061   0.64  27.36  54.88    1.5646E-02    1.5109E-05
    1   31   26    52.848371   0.64  27.36  54.88    1.5581E-02    1.3192E-05
    1   32   27    53.059892   0.64  27.36  54.88    1.5551E-02    1.2358E-05
    1   33   28    53.258210   0.64  27.36  54.88    1.5524E-02    1.1558E-05
    1   34   29    53.444526   0.64  27.36  54.88    1.5498E-02    1.0869E-05
    1   36   31    53.785264   0.64  27.36  54.88    1.5450E-02    9.5848E-06
    1   37   32    53.941457   0.64  27.36  54.88    1.5428E-02    9.0114E-06
    1   38   33    54.089222   0.64  27.36  54.88    1.5408E-02    8.4708E-06
    1   39   34    54.229223   0.64  27.36  54.88    1.5388E-02    7.9924E-06
    1   41   36    54.488259   0.64  27.36  54.88    1.5352E-02    7.1003E-06
    1   42   37    54.608317   0.64  27.36  54.88    1.5335E-02    6.6963E-06
    1   43   38    54.722668   0.64  27.36  54.88    1.5320E-02    6.3153E-06
    1   44   39    54.831710   0.64  27.36  54.88    1.5304E-02    5.9767E-06
    1   46   41    55.035281   0.64  27.36  54.88    1.5276E-02    5.3362E-06
    1   47   42    55.130440   0.64  27.36  54.88    1.5263E-02    5.0488E-06
    1   48   43    55.221558   0.64  27.36  54.88    1.5250E-02    4.7726E-06
    1   49   44    55.308885   0.64  27.36  54.88    1.5238E-02    4.5252E-06
    1   51   46    55.473080   0.64  27.36  54.88    1.5215E-02    4.0598E-06
    1   52   47    55.550356   0.64  27.36  54.88    1.5205E-02    3.8481E-06
    1   53   48    55.624666   0.64  27.36  54.88    1.5194E-02    3.6514E-06
    1   54   49    55.696177   0.64  27.36  54.88    1.5184E-02    3.4587E-06
    1   56   51    55.831411   0.64  27.36  54.88    1.5166E-02    3.1207E-06
    1   57   52    55.895412   0.64  27.36  54.88    1.5157E-02    2.9555E-06
    1   58   53    55.957172   0.64  27.36  54.88    1.5148E-02    2.8205E-06
    1   59   54    56.016805   0.64  27.36  54.88    1.5140E-02    2.6700E-06
    1   61   56    56.130120   0.64  27.36  54.88    1.5124E-02    2.4197E-06
    1   62   57    56.183995   0.64  27.36  54.88    1.5117E-02    2.2829E-06
    1   63   58    56.236136   0.64  27.36  54.88    1.5110E-02    2.1946E-06
    1   64   59    56.286624   0.64  27.36  54.88    1.5103E-02    2.0815E-06
    1   66   61    56.382947   0.64  27.36  54.88    1.5090E-02    1.8936E-06
    1   67   62    56.428923   0.64  27.36  54.88    1.5083E-02    1.7734E-06
    1   68   63    56.473529   0.64  27.36  54.88    1.5077E-02    1.7128E-06
    1   69   64    56.516826   0.64  27.36  54.88    1.5071E-02    1.6311E-06
    1   71   66    56.599713   0.64  27.36  54.88    1.5060E-02    1.4956E-06
    1   72   67    56.639409   0.64  27.36  54.88    1.5054E-02    1.3903E-06
    1   73   68    56.678003   0.64  27.36  54.88    1.5049E-02    1.3354E-06
    1   74   69    56.715542   0.64  27.36  54.88    1.5044E-02    1.2767E-06
    1   76   71    56.787621   0.64  27.36  54.88    1.5034E-02    1.1907E-06
    1   77   72    56.822240   0.64  27.36  54.88    1.5029E-02    1.0925E-06
    1   78   73    56.855962   0.64  27.36  54.88    1.5024E-02    1.0384E-06
    1   79   74    56.888820   0.64  27.36  54.88    1.5020E-02    9.9466E-07
    1   81   76    56.952075   0.64  27.36  54.88    1.5011E-02    9.5518E-07
    1   82   77    56.982534   0.64  27.36  54.88    1.5007E-02    8.6548E-07
    1   83   78    57.012250   0.64  27.36  54.88    1.5003E-02    8.0625E-07
    1   84   79    57.041251   0.64  27.36  54.88    1.4999E-02    7.7148E-07
    1   86   81    57.097210   0.64  27.36  54.88    1.4991E-02    7.7284E-07
    1   87   82    57.124214   0.64  27.36  54.88    1.4988E-02    6.9300E-07
    1   88   83    57.150599   0.64  27.36  54.88    1.4984E-02    6.2637E-07
    1   89   84    57.176385   0.64  27.36  54.88    1.4980E-02    5.9659E-07
    1   91   86    57.226240   0.64  27.36  54.88    1.4974E-02    6.1277E-07
    1   92   87    57.250347   0.64  27.36  54.88    1.4970E-02    5.6171E-07
    1   93   88    57.273931   0.64  27.36  54.88    1.4967E-02    4.8720E-07
    1   94   89    57.297008   0.64  27.36  54.88    1.4964E-02    4.6224E-07
    1   96   91    57.341706   0.64  27.36  54.88    1.4958E-02    5.1080E-07
    1   97   92    57.363358   0.64  27.36  54.88    1.4955E-02    4.6032E-07
