 strength = semiamplitude of R in solar mass,au,day
  pla  |p+q|:|p|     a(au)      e     i     argper        <R>      strength                   
    1   58   53    55.957172   0.91  11.97  36.97    1.4435E-02    3.5152E-06
    1   59   54    56.016805   0.91  11.97  36.97    1.4422E-02    2.7670E-06
    1   61   56    56.130120   0.91  11.97  36.97    1.4399E-02    2.5915E-06
    1   62   57    56.183995   0.91  11.97  36.97    1.4388E-02    2.4792E-06
    1   63   58    56.236136   0.91  11.97  36.97    1.4377E-02    2.5816E-06
    1   64   59    56.286624   0.91  11.97  36.97    1.4366E-02    1.7346E-06
    1   66   61    56.382947   0.91  11.97  36.97    1.4346E-02    2.0485E-06
    1   67   62    56.428923   0.91  11.97  36.97    1.4336E-02    1.5838E-06
    1   68   63    56.473529   0.91  11.97  36.97    1.4328E-02    1.9681E-06
    1   69   64    56.516826   0.91  11.97  36.97    1.4319E-02    1.6138E-06
    1   71   66    56.599713   0.91  11.97  36.97    1.4301E-02    1.5249E-06
    1   72   67    56.639409   0.91  11.97  36.97    1.4294E-02    1.3024E-06
    1   73   68    56.678003   0.91  11.97  36.97    1.4285E-02    1.5441E-06
    1   74   69    56.715542   0.91  11.97  36.97    1.4277E-02    1.0752E-06
    1   76   71    56.787621   0.91  11.97  36.97    1.4263E-02    1.3604E-06
    1   77   72    56.822240   0.91  11.97  36.97    1.4256E-02    7.2847E-07
    1   78   73    56.855962   0.91  11.97  36.97    1.4249E-02    8.3303E-07
    1   79   74    56.888820   0.91  11.97  36.97    1.4243E-02    1.1035E-06
    1   81   76    56.952075   0.91  11.97  36.97    1.4229E-02    6.1301E-07
    1   82   77    56.982534   0.91  11.97  36.97    1.4224E-02    8.4476E-07
    1   83   78    57.012250   0.91  11.97  36.97    1.4217E-02    7.4708E-07
    1   84   79    57.041251   0.91  11.97  36.97    1.4211E-02    4.2152E-07
    1   86   81    57.097210   0.91  11.97  36.97    1.4200E-02    7.9902E-07
    1   87   82    57.124214   0.91  11.97  36.97    1.4194E-02    3.0230E-07
    1   88   83    57.150599   0.91  11.97  36.97    1.4189E-02    4.3564E-07
    1   89   84    57.176385   0.91  11.97  36.97    1.4184E-02    7.4715E-07
    1   91   86    57.226240   0.91  11.97  36.97    1.4174E-02    2.9054E-07
    1   92   87    57.250347   0.91  11.97  36.97    1.4169E-02    6.4512E-07
    1   93   88    57.273931   0.91  11.97  36.97    1.4164E-02    2.7958E-07
    1   94   89    57.297008   0.91  11.97  36.97    1.4159E-02    1.7401E-07
    1   96   91    57.341706   0.91  11.97  36.97    1.4150E-02    3.2349E-07
    1   97   92    57.363358   0.91  11.97  36.97    1.4146E-02    7.6112E-08
    1   98   93    57.384564   0.91  11.97  36.97    1.4142E-02    4.6555E-07
    1   99   94    57.405338   0.91  11.97  36.97    1.4138E-02    3.7421E-07
    1    7    1    16.238970   0.91  11.97  36.97    1.7505E-02    2.8585E-05
    1   11    5    35.129776   0.91  11.97  36.97    1.9997E-02    1.3112E-04
    1   13    7    39.330273   0.91  11.97  36.97    1.8816E-02    1.9607E-04
    1   17   11    44.454905   0.91  11.97  36.97    1.7279E-02    8.3131E-05
